regular_ring_NOCs, PD
Init: players
TempCooperators: 38
TempCooperators: 34
TempCooperators: 24
TempCooperators: 23
TempCooperators: 20
TempCooperators: 17
TempCooperators: 15
TempCooperators: 16
TempCooperators: 15
TempCooperators: 20
TempCooperators: 17
TempCooperators: 17
TempCooperators: 18
TempCooperators: 14
TempCooperators: 17
TempCooperators: 15
TempCooperators: 15
TempCooperators: 13
TempCooperators: 15
TempCooperators: 13
TempCooperators: 16
TempCooperators: 18
TempCooperators: 14
TempCooperators: 15
TempCooperators: 14
TempCooperators: 11
TempCooperators: 14
TempCooperators: 9
TempCooperators: 12
TempCooperators: 7
TempCooperators: 6
TempCooperators: 2
TempCooperators: 1
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
TempCooperators: 0
