regular_NOCs, PD
Init: players
Step:0
players[0]: Index: 0; Strategy: True; AccPayOffs: 3
players[1]: Index: 1; Strategy: True; AccPayOffs: 3
players[2]: Index: 2; Strategy: True; AccPayOffs: 2
players[3]: Index: 3; Strategy: False; AccPayOffs: 2
players[4]: Index: 4; Strategy: True; AccPayOffs: 1
players[5]: Index: 5; Strategy: True; AccPayOffs: 6
players[6]: Index: 6; Strategy: True; AccPayOffs: 0
players[7]: Index: 7; Strategy: True; AccPayOffs: 4
players[8]: Index: 8; Strategy: True; AccPayOffs: 4
players[9]: Index: 9; Strategy: True; AccPayOffs: 2
players[10]: Index: 10; Strategy: False; AccPayOffs: 3
players[11]: Index: 11; Strategy: True; AccPayOffs: 2
players[12]: Index: 12; Strategy: True; AccPayOffs: 6
players[13]: Index: 13; Strategy: True; AccPayOffs: 3
players[14]: Index: 14; Strategy: True; AccPayOffs: 1
players[15]: Index: 15; Strategy: False; AccPayOffs: 0
players[16]: Index: 16; Strategy: True; AccPayOffs: 3
players[17]: Index: 17; Strategy: True; AccPayOffs: 1
players[18]: Index: 18; Strategy: True; AccPayOffs: 2
players[19]: Index: 19; Strategy: True; AccPayOffs: 3
players[20]: Index: 20; Strategy: True; AccPayOffs: 4
players[21]: Index: 21; Strategy: True; AccPayOffs: 2
players[22]: Index: 22; Strategy: True; AccPayOffs: 3
players[23]: Index: 23; Strategy: True; AccPayOffs: 2
players[24]: Index: 24; Strategy: False; AccPayOffs: 4
players[25]: Index: 25; Strategy: False; AccPayOffs: 4
players[26]: Index: 26; Strategy: True; AccPayOffs: 4
players[27]: Index: 27; Strategy: True; AccPayOffs: 1
players[28]: Index: 28; Strategy: True; AccPayOffs: 2
players[29]: Index: 29; Strategy: True; AccPayOffs: 3
players[30]: Index: 30; Strategy: False; AccPayOffs: 4
players[31]: Index: 31; Strategy: True; AccPayOffs: 2
players[32]: Index: 32; Strategy: False; AccPayOffs: 4
players[33]: Index: 33; Strategy: True; AccPayOffs: 2
players[34]: Index: 34; Strategy: True; AccPayOffs: 3
players[35]: Index: 35; Strategy: False; AccPayOffs: 4
players[36]: Index: 36; Strategy: True; AccPayOffs: 1
players[37]: Index: 37; Strategy: True; AccPayOffs: 6
players[38]: Index: 38; Strategy: True; AccPayOffs: 0
players[39]: Index: 39; Strategy: True; AccPayOffs: 2
players[40]: Index: 40; Strategy: True; AccPayOffs: 4
players[41]: Index: 41; Strategy: False; AccPayOffs: 4
